ICD,LG,RF_500,PV_no_time_no_corr,PV_with_time_no_corr,PV_with_time_with_corr
ICD_4019,0.7153413840079429,0.779962440447328,0.6815953573929976,0.6806708382399347,0.7632030293934287
ICD_4019,0.7245527103681298,0.7774176268212151,0.6785019280057264,0.6792466538902615,0.7698347533615031
ICD_4019,0.7179970291009566,0.7764918762074087,0.6843781508077613,0.68459704295489,0.7692673578240088
ICD_4019,0.7232727608580202,0.7779894864039038,0.6849658654475206,0.6843729170996021,0.7661865509093568
ICD_4019,0.717985330223895,0.7736807591955484,0.6603726708074534,0.6611140101749443,0.7470034711799702
ICD_4019,0.7125167209279056,0.7680225049450845,0.6739898558421268,0.67531336827603194,0.7623043709159759
ICD_4019,0.7260714093298546,0.7841240080968543,0.6697216129057085,0.672613082731072,0.7597275393105359
ICD_4019,0.7239168148267874,0.7936472018902923,0.6827750967851178,0.6832141125401188,0.7652032295057994
ICD_4019,0.7217883888645161,0.76803497348511085,0.6853753261446812,0.6858752992064776,0.7612474697330038
ICD_4019,0.7148491075757926,0.7647668306048782,0.6583278302431366,0.6594536932277355,0.7546982536347332
ICD_4280,0.7958756435954879,0.8423810085288684,0.806571237668514,0.8063259835711198,0.84083826592776
ICD_4280,0.8073626537751051,0.8469848681366191,0.8127906300357662,0.8127922021774161,0.8341522619187989
ICD_4280,0.794229611287977,0.8429900562040642,0.7951040364736863,0.795949534253036,0.8292635302440751
ICD_4280,0.7956036630900444,0.8457029438352396,0.8145165271390952,0.815284675549267,0.8371795778799671
ICD_4280,0.7890909090909091,0.8550647329324372,0.8222530361985616,0.8226511024643319,0.8459719372715481
ICD_4280,0.7927029045316983,0.8487003891050584,0.805519160476359,0.8065696655268639,0.838611798923083
ICD_4280,0.7978166096765318,0.8416243367527415,0.7992331093031483,0.8001141374837872,0.8330769170302245
ICD_4280,0.79620925205361,0.8434599693432379,0.804379672208466,0.8034860668946271,0.8332860118696694
ICD_4280,0.8014525016704005,0.8423975160161931,0.8055452580277483,0.8064303737766775,0.8337765200644578
ICD_4280,0.7897141060409543,0.833768502142043,0.8013957473568368,0.8009052391620485,0.8272370396572732
ICD_42731,0.8302005337447058,0.8647780350763201,0.8053888915027032,0.8044757354271932,0.863536568655497
ICD_42731,0.837557123767849,0.8645690634810032,0.8134713015204271,0.8124942691643438,0.8754216778925223
ICD_42731,0.8309617260882063,0.8676593361193923,0.8115069341823613,0.8105192557795156,0.8680844911481557
ICD_42731,0.8281432710631177,0.8676131460132788,0.804256632916409,0.8018719184416659,0.8630599004972391
ICD_42731,0.8332123347158312,0.8731604232181351,0.7996008762726747,0.7984775466288262,0.8688279973171962
ICD_42731,0.8328019467841898,0.8608506740836416,0.8109832173658315,0.8108499700708718,0.8698912283099676
ICD_42731,0.8252025582106949,0.8637683777382232,0.8100662836608251,0.8100831112831268,0.8630245281483193
ICD_42731,0.828104464505565,0.8681754976769296,0.8092832840925053,0.805189363981127,0.8656297188172998
ICD_42731,0.8253861166621277,0.8624427732058921,0.7832499221293193,0.7820063951833163,0.8595144235045481
ICD_42731,0.8315239060414255,0.8637685494486549,0.7939399267620667,0.7925394564815366,0.8648024179576143
ICD_5849,0.6292548070989559,0.6574528889218001,0.6649760472730877,0.6746190425256404,0.6907283141331473
ICD_5849,0.6268808875379606,0.678364264028125,0.6633152047216668,0.6670972554762943,0.6927625426132079
ICD_5849,0.6343321504874586,0.669187119635124,0.6625555034460818,0.6666075047829053,0.6894957095880256
ICD_5849,0.6245132367858406,0.6791061383784707,0.660077756738088,0.6665134726497746,0.690979458288717
ICD_5849,0.625523690416441,0.6733331531050781,0.6495778936723818,0.6529489456451173,0.6899074919710273
ICD_5849,0.6160074426433373,0.666165553757191,0.6776507952179959,0.681380344698292,0.7001660058950312
ICD_5849,0.5987527421141323,0.661027481282708,0.6509664348382784,0.6548832649837266,0.6701145115481255
ICD_5849,0.6097631213026271,0.6889955761799368,0.6672410462798734,0.6721350270087713,0.7048934713881767
ICD_5849,0.6244509404976416,0.661827929815983,0.6508778879129137,0.6559078234342964,0.6808290813178134
ICD_5849,0.5963314146860169,0.675557013053619,0.6620786821709983,0.6672480986898582,0.6942137718678583
ICD_2724,0.7145081198240165,0.784268425063262,0.6883410973084886,0.6926000510409478,0.7913737203818726
ICD_2724,0.7207305325511847,0.7990026796497585,0.6982927342132506,0.7034300774959743,0.7962392346733378
ICD_2724,0.7197173517655855,0.8010297151771336,0.6964339630779848,0.6976304599436394,0.7854972718253969
ICD_2724,0.7235395818955602,0.7907181856740281,0.6805991380549805,0.6812703984069473,0.777713077984817
ICD_2724,0.7227705978979756,0.7846170850586611,0.7022740180009202,0.7067073017310789,0.786316353232114
